Origin,Timestamp,Value
Lebanon,2008.4999999996285,180
Palestinian,2008.4999999996285,0
Pakistan,2008.4999999996285,1797
Iran,2008.4999999996285,0
Syrian Arab Republic,2008.5833333329585,0
Afghanistan,2008.5833333329585,3967
Iraq,2008.5833333329585,7052
Lebanon,2008.5833333329585,154
Palestinian,2008.5833333329585,0
Pakistan,2008.5833333329585,2028
Iran,2008.5833333329585,0
Syrian Arab Republic,2008.6666666662886,0
Afghanistan,2008.6666666662886,4277
Iraq,2008.6666666662886,7702
Lebanon,2008.6666666662886,179
Palestinian,2008.6666666662886,0
Pakistan,2008.6666666662886,2472
Iran,2008.6666666662886,0
Syrian Arab Republic,2008.7499999996187,0
Afghanistan,2008.7499999996187,4066
Iraq,2008.7499999996187,7302
Lebanon,2008.7499999996187,199
Palestinian,2008.7499999996187,0
Pakistan,2008.7499999996187,2195
Iran,2008.7499999996187,0
Syrian Arab Republic,2008.8333333329488,0
Afghanistan,2008.8333333329488,3805
Iraq,2008.8333333329488,6002
Lebanon,2008.8333333329488,232
Palestinian,2008.8333333329488,0
Pakistan,2008.8333333329488,1944
Iran,2008.8333333329488,0
Syrian Arab Republic,2008.9166666662788,0
Afghanistan,2008.9166666662788,3928
Iraq,2008.9166666662788,5592
Lebanon,2008.9166666662788,262
Palestinian,2008.9166666662788,0
Pakistan,2008.9166666662788,1808
Iran,2008.9166666662788,0
Syrian Arab Republic,2008.999999999609,0
Afghanistan,2008.999999999609,3882
Iraq,2008.999999999609,5181
Lebanon,2008.999999999609,213
Palestinian,2008.999999999609,0
Pakistan,2008.999999999609,1750
Iran,2008.999999999609,0
Syrian Arab Republic,2009.083333332939,0
Afghanistan,2009.083333332939,3705
Iraq,2009.083333332939,4648
Lebanon,2009.083333332939,181
Palestinian,2009.083333332939,0
Pakistan,2009.083333332939,1910
Iran,2009.083333332939,0
Syrian Arab Republic,2009.166666666269,0
Afghanistan,2009.166666666269,3529
Iraq,2009.166666666269,4299
Lebanon,2009.166666666269,172
Palestinian,2009.166666666269,0
Pakistan,2009.166666666269,1917
Iran,2009.166666666269,0
Syrian Arab Republic,2009.2499999995991,0
Afghanistan,2009.2499999995991,3712
Iraq,2009.2499999995991,3547
Lebanon,2009.2499999995991,157
Palestinian,2009.2499999995991,0
Pakistan,2009.2499999995991,1857
Iran,2009.2499999995991,0
Syrian Arab Republic,2009.3333333329292,0
Afghanistan,2009.3333333329292,4065
Iraq,2009.3333333329292,3266
Lebanon,2009.3333333329292,148
Palestinian,2009.3333333329292,0
Pakistan,2009.3333333329292,1915
Iran,2009.3333333329292,0
Syrian Arab Republic,2009.4166666662593,0
Afghanistan,2009.4166666662593,4134
Iraq,2009.4166666662593,3530
Lebanon,2009.4166666662593,155
Palestinian,2009.4166666662593,0
Pakistan,2009.4166666662593,1704
Iran,2009.4166666662593,0
Syrian Arab Republic,2009.4999999995894,0
Afghanistan,2009.4999999995894,4335
Iraq,2009.4999999995894,3498
Lebanon,2009.4999999995894,152
Palestinian,2009.4999999995894,0
Pakistan,2009.4999999995894,1295
Iran,2009.4999999995894,0
Syrian Arab Republic,2009.5833333329194,0
Afghanistan,2009.5833333329194,4583
Iraq,2009.5833333329194,3509
Lebanon,2009.5833333329194,166
Palestinian,2009.5833333329194,0
Pakistan,2009.5833333329194,1476
Iran,2009.5833333329194,0
Syrian Arab Republic,2009.6666666662495,0
Afghanistan,2009.6666666662495,4868
Iraq,2009.6666666662495,3829
Lebanon,2009.6666666662495,184
Palestinian,2009.6666666662495,0
Pakistan,2009.6666666662495,1640
Iran,2009.6666666662495,0
Syrian Arab Republic,2009.7499999995796,0
Afghanistan,2009.7499999995796,4865
Iraq,2009.7499999995796,3789
Lebanon,2009.7499999995796,160
Palestinian,2009.7499999995796,0
Pakistan,2009.7499999995796,1465
Iran,2009.7499999995796,0
Syrian Arab Republic,2009.8333333329097,0
Afghanistan,2009.8333333329097,4499
Iraq,2009.8333333329097,3186
Lebanon,2009.8333333329097,182
Palestinian,2009.8333333329097,0
Pakistan,2009.8333333329097,1371
Iran,2009.8333333329097,0
